Date,Close
1900-01-01,3.15
1900-02-01,3.15
1900-03-01,3.14
1900-04-01,3.14
1900-05-01,3.13
1900-06-01,3.13
1900-07-01,3.13
1900-08-01,3.12
1900-09-01,3.12
1900-10-01,3.11
1900-11-01,3.11
1900-12-01,3.1
1901-01-01,3.1
1901-02-01,3.11
1901-03-01,3.11
1901-04-01,3.12
1901-05-01,3.13
1901-06-01,3.13
1901-07-01,3.14
1901-08-01,3.15
1901-09-01,3.15
1901-10-01,3.16
1901-11-01,3.17
1901-12-01,3.17
1902-01-01,3.18
1902-02-01,3.19
1902-03-01,3.2
1902-04-01,3.21
1902-05-01,3.22
1902-06-01,3.23
1902-07-01,3.24
1902-08-01,3.25
1902-09-01,3.26
1902-10-01,3.27
1902-11-01,3.28
1902-12-01,3.29
1903-01-01,3.3
1903-02-01,3.31
1903-03-01,3.32
1903-04-01,3.33
1903-05-01,3.33
1903-06-01,3.34
1903-07-01,3.35
1903-08-01,3.36
1903-09-01,3.37
1903-10-01,3.38
1903-11-01,3.38
1903-12-01,3.39
1904-01-01,3.4
1904-02-01,3.41
1904-03-01,3.41
1904-04-01,3.42
1904-05-01,3.43
1904-06-01,3.43
1904-07-01,3.44
1904-08-01,3.45
1904-09-01,3.45
1904-10-01,3.46
1904-11-01,3.47
1904-12-01,3.47
1905-01-01,3.48
1905-02-01,3.48
1905-03-01,3.47
1905-04-01,3.47
1905-05-01,3.46
1905-06-01,3.46
1905-07-01,3.46
1905-08-01,3.45
1905-09-01,3.45
1905-10-01,3.44
1905-11-01,3.44
1905-12-01,3.43
1906-01-01,3.43
1906-02-01,3.45
1906-03-01,3.47
1906-04-01,3.49
1906-05-01,3.51
1906-06-01,3.53
1906-07-01,3.55
1906-08-01,3.57
1906-09-01,3.59
1906-10-01,3.61
1906-11-01,3.63
1906-12-01,3.65
1907-01-01,3.67
1907-02-01,3.69
1907-03-01,3.7
1907-04-01,3.72
1907-05-01,3.74
1907-06-01,3.75
1907-07-01,3.77
1907-08-01,3.79
1907-09-01,3.8
1907-10-01,3.82
1907-11-01,3.84
1907-12-01,3.85
1908-01-01,3.87
1908-02-01,3.86
1908-03-01,3.85
1908-04-01,3.84
1908-05-01,3.83
1908-06-01,3.82
1908-07-01,3.82
1908-08-01,3.81
1908-09-01,3.8
1908-10-01,3.79
1908-11-01,3.78
1908-12-01,3.77
1909-01-01,3.76
1909-02-01,3.77
1909-03-01,3.79
1909-04-01,3.8
1909-05-01,3.81
1909-06-01,3.82
1909-07-01,3.84
1909-08-01,3.85
1909-09-01,3.86
1909-10-01,3.87
1909-11-01,3.89
1909-12-01,3.9
1910-01-01,3.91
1910-02-01,3.92
1910-03-01,3.92
1910-04-01,3.93
1910-05-01,3.93
1910-06-01,3.94
1910-07-01,3.95
1910-08-01,3.95
1910-09-01,3.96
1910-10-01,3.96
1910-11-01,3.97
1910-12-01,3.97
1911-01-01,3.98
1911-02-01,3.98
1911-03-01,3.99
1911-04-01,3.99
1911-05-01,3.99
1911-06-01,3.99
1911-07-01,4.0
1911-08-01,4.0
1911-09-01,4.0
1911-10-01,4.0
1911-11-01,4.01
1911-12-01,4.01
1912-01-01,4.01
1912-02-01,4.05
1912-03-01,4.08
1912-04-01,4.12
1912-05-01,4.16
1912-06-01,4.19
1912-07-01,4.23
1912-08-01,4.27
1912-09-01,4.3
1912-10-01,4.34
1912-11-01,4.38
1912-12-01,4.41
1913-01-01,4.45
1913-02-01,4.43
1913-03-01,4.4
1913-04-01,4.38
1913-05-01,4.35
1913-06-01,4.33
1913-07-01,4.31
1913-08-01,4.28
1913-09-01,4.26
1913-10-01,4.23
1913-11-01,4.21
1913-12-01,4.18
1914-01-01,4.16
1914-02-01,4.17
1914-03-01,4.17
1914-04-01,4.18
1914-05-01,4.19
1914-06-01,4.19
1914-07-01,4.2
1914-08-01,4.21
1914-09-01,4.21
1914-10-01,4.22
1914-11-01,4.23
1914-12-01,4.23
1915-01-01,4.24
1915-02-01,4.22
1915-03-01,4.21
1915-04-01,4.19
1915-05-01,4.18
1915-06-01,4.16
1915-07-01,4.15
1915-08-01,4.13
1915-09-01,4.11
1915-10-01,4.1
1915-11-01,4.08
1915-12-01,4.07
1916-01-01,4.05
1916-02-01,4.07
1916-03-01,4.08
1916-04-01,4.1
1916-05-01,4.11
1916-06-01,4.13
1916-07-01,4.14
1916-08-01,4.16
1916-09-01,4.17
1916-10-01,4.19
1916-11-01,4.2
1916-12-01,4.22
1917-01-01,4.23
1917-02-01,4.26
1917-03-01,4.29
1917-04-01,4.32
1917-05-01,4.34
1917-06-01,4.37
1917-07-01,4.4
1917-08-01,4.43
1917-09-01,4.46
1917-10-01,4.49
1917-11-01,4.51
1917-12-01,4.54
1918-01-01,4.57
1918-02-01,4.56
1918-03-01,4.56
1918-04-01,4.55
1918-05-01,4.55
1918-06-01,4.54
1918-07-01,4.54
1918-08-01,4.53
1918-09-01,4.52
1918-10-01,4.52
1918-11-01,4.51
1918-12-01,4.51
1919-01-01,4.5
1919-02-01,4.54
1919-03-01,4.58
1919-04-01,4.62
1919-05-01,4.66
1919-06-01,4.7
1919-07-01,4.74
1919-08-01,4.77
1919-09-01,4.81
1919-10-01,4.85
1919-11-01,4.89
1919-12-01,4.93
1920-01-01,4.97
1920-02-01,4.98
1920-03-01,4.99
1920-04-01,5.0
1920-05-01,5.01
1920-06-01,5.02
1920-07-01,5.03
1920-08-01,5.04
1920-09-01,5.05
1920-10-01,5.06
1920-11-01,5.07
1920-12-01,5.08
1921-01-01,5.09
1921-02-01,5.02
1921-03-01,4.96
1921-04-01,4.89
1921-05-01,4.83
1921-06-01,4.76
1921-07-01,4.7
1921-08-01,4.63
1921-09-01,4.56
1921-10-01,4.5
1921-11-01,4.43
1921-12-01,4.37
1922-01-01,4.3
1922-02-01,4.31
1922-03-01,4.31
1922-04-01,4.32
