Date,Close
1960/1/1,1.39E+12
1961/1/1,1.44E+12
1962/1/1,1.55E+12
1963/1/1,1.67E+12
1964/1/1,1.82E+12
1965/1/1,1.99E+12
1966/1/1,2.16E+12
1967/1/1,2.29E+12
1968/1/1,2.48E+12
1969/1/1,2.73E+12
1970/1/1,2.99E+12
1971/1/1,3.30E+12
1972/1/1,3.80E+12
1973/1/1,4.64E+12
1974/1/1,5.35E+12
1975/1/1,5.96E+12
1976/1/1,6.48E+12
1977/1/1,7.33E+12
1978/1/1,8.63E+12
1979/1/1,1.00E+13
1980/1/1,1.13E+13
1981/1/1,1.17E+13
1982/1/1,1.16E+13
1983/1/1,1.18E+13
1984/1/1,1.22E+13
1985/1/1,1.29E+13
1986/1/1,1.52E+13
1987/1/1,1.73E+13
1988/1/1,1.93E+13
1989/1/1,2.01E+13
1990/1/1,2.27E+13
1991/1/1,2.37E+13
1992/1/1,2.54E+13
1993/1/1,2.58E+13
1994/1/1,2.79E+13
1995/1/1,3.10E+13
1996/1/1,3.17E+13
1997/1/1,3.16E+13
1998/1/1,3.15E+13
1999/1/1,3.27E+13
2000/1/1,3.38E+13
2001/1/1,3.36E+13
2002/1/1,3.49E+13
2003/1/1,3.91E+13
2004/1/1,4.41E+13
2005/1/1,4.78E+13
2006/1/1,5.18E+13
2007/1/1,5.83E+13
2008/1/1,6.40E+13
2009/1/1,6.07E+13
2010/1/1,6.65E+13
2011/1/1,7.37E+13
2012/1/1,7.53E+13
2013/1/1,7.74E+13
2014/1/1,7.96E+13
2015/1/1,7.51E+13
2016/1/1,7.63E+13
2017/1/1,8.12E+13
2018/1/1,8.63E+13
2019/1/1,8.76E+13
2020/1/1,8.47E+13
