Date,Close
1900-01-02,49.34
1900-02-01,48.77
1900-03-01,46.05
1900-04-02,47.47
1900-05-01,44.41
1900-06-01,43.01
1900-07-02,40.18
1900-08-01,41.33
1900-09-04,42.4
1900-10-01,39.8
1900-11-01,42.86
1900-12-03,48.11
1901-01-02,51.02
1901-02-01,49.04
1901-03-01,49.08
1901-04-01,51.36
1901-05-01,54.99
1901-06-03,56.3
1901-07-01,55.83
1901-08-01,51.94
1901-09-03,52.62
1901-10-01,47.85
1901-11-01,46.84
1901-12-02,46.37
1902-01-02,46.58
1902-02-03,46.91
1902-03-03,47.29
1902-04-01,48.67
1902-05-01,48.6
1902-06-02,47.99
1902-07-01,46.53
1902-08-01,47.74
1902-09-02,48.2
1902-10-01,48.13
1902-11-03,47.47
1902-12-01,45.29
1903-01-02,46.79
1903-02-02,47.46
1903-03-02,47.81
1903-04-01,45.97
1903-05-01,46.24
1903-06-01,43.16
1903-07-01,42.59
1903-08-03,36.63
1903-09-01,38.2
1903-10-01,34.08
1903-11-02,32.92
1903-12-01,32.12
1904-01-04,34.6
1904-02-01,35.51
1904-03-01,34.66
1904-04-04,35.26
1904-05-02,35.07
1904-06-01,34.95
1904-07-01,35.71
1904-08-01,38.19
1904-09-01,39.79
1904-10-03,42.48
1904-11-01,46.15
1904-12-01,52.18
1905-01-03,50.98
1905-02-01,51.36
1905-03-01,55.09
1905-04-03,58.76
1905-05-01,55.69
1905-06-01,52.99
1905-07-03,57.0
1905-08-01,58.92
1905-09-01,57.69
1905-10-02,59.51
1905-11-01,60.94
1905-12-01,64.91
1906-01-02,68.8
1906-02-01,73.55
1906-03-01,67.96
1906-04-02,70.86
1906-05-01,63.76
1906-06-01,68.09
1906-07-02,62.37
1906-08-01,67.88
1906-09-04,67.58
1906-10-01,69.36
1906-11-01,67.93
1906-12-03,69.06
1907-01-02,68.26
1907-02-01,65.61
1907-03-01,65.27
1907-04-01,59.61
1907-05-01,60.74
1907-06-03,56.06
1907-07-01,58.86
1907-08-01,56.75
1907-09-03,53.24
1907-10-01,49.21
1907-11-01,41.69
1907-12-02,43.56
1908-01-02,43.17
1908-02-03,44.77
1908-03-02,44.24
1908-04-01,49.13
1908-05-01,50.64
1908-06-01,53.87
1908-07-01,52.7
1908-08-03,58.71
1908-09-01,61.24
1908-10-01,57.58
1908-11-02,60.04
1908-12-01,63.47
1909-01-04,61.75
1909-02-01,61.16
1909-03-01,59.91
1909-04-01,61.83
1909-05-03,64.28
1909-06-01,66.91
1909-07-01,67.32
1909-08-02,70.63
1909-09-01,70.61
1909-10-01,72.69
1909-11-01,72.02
1909-12-01,70.17
1910-01-03,71.22
1910-02-01,66.15
1910-03-01,66.46
1910-04-01,64.97
1910-05-02,61.93
1910-06-01,62.06
1910-07-01,59.13
1910-08-01,55.14
1910-09-01,56.91
1910-10-03,58.43
1910-11-01,61.63
1910-12-01,58.98
1911-01-03,59.47
1911-02-01,61.8
1911-03-01,61.22
1911-04-03,60.35
1911-05-01,60.94
1911-06-01,62.13
1911-07-03,62.02
1911-08-01,61.9
1911-09-01,57.34
1911-10-02,55.59
1911-11-01,56.27
1911-12-01,58.16
1912-01-02,59.65
1912-02-01,58.3
1912-03-01,59.44
1912-04-01,64.49
1912-05-01,65.42
1912-06-03,64.16
1912-07-01,66.16
1912-08-01,65.52
1912-09-03,65.63
1912-10-01,68.01
1912-11-01,65.55
1912-12-02,65.8
1913-01-02,64.04
1913-02-03,60.3
1913-03-03,58.9
1913-04-01,59.33
1913-05-01,57.66
1913-06-02,55.96
1913-07-01,54.63
1913-08-01,56.64
1913-09-02,58.62
1913-10-01,58.51
1913-11-03,56.32
1913-12-01,54.88
1914-01-02,56.92
1914-02-02,59.79
1914-03-02,59.14
1914-04-01,59.72
1914-05-01,58.02
1914-06-01,58.65
1914-07-01,58.18
1914-12-14,56.76
1915-01-04,55.44
1915-02-01,55.59
1915-03-01,55.29
1915-04-01,61.05
1915-05-03,69.54
1915-06-01,64.86
1915-07-01,69.85
1915-08-02,76.46
1915-09-01,81.79
1915-10-01,90.88
1915-11-01,95.16
1915-12-01,95.9
1916-01-03,98.81
1916-02-01,91.93
1916-03-01,90.69
1916-04-03,94.13
1916-05-01,90.3
1916-06-01,91.87
1916-07-03,89.37
1916-08-01,89.05
1916-09-01,91.19
1916-10-02,103.01
1916-11-01,105.9
1916-12-01,106.17
1917-01-02,96.15
1917-02-01,88.52
1917-03-01,91.1
1917-04-02,97.06
1917-05-01,93.42
1917-06-01,97.89
1917-07-02,95.23
1917-08-01,92.26
