Date,Close
1938-01-03,5.63
1938-02-01,5.82
1938-03-01,6.11
1938-04-01,4.74
1938-05-02,5.09
1938-06-01,5.07
1938-07-01,6.3
1938-08-01,6.46
1938-09-01,6.27
1938-10-01,6.54
1938-11-01,6.87
1938-12-01,6.59
1939-01-03,6.83
1939-02-01,6.31
1939-03-01,6.6
1939-04-01,5.82
1939-05-01,5.62
1939-06-01,5.9
1939-07-01,5.65
1939-08-01,6.19
1939-09-01,5.8
1939-10-02,6.59
1939-11-01,6.55
1939-12-01,6.27
1940-01-02,6.43
1940-02-01,6.22
1940-03-01,6.3
1940-04-01,6.46
1940-05-01,6.45
1940-06-01,5.02
1940-07-01,5.44
1940-08-01,5.73
1940-09-03,5.99
1940-10-01,6.21
1940-11-01,6.46
1940-12-02,6.28
1941-01-02,6.28
1941-02-01,6.04
1941-03-01,6.02
1941-04-01,6.11
1941-05-01,5.74
1941-06-02,5.83
1941-07-01,6.16
1941-08-01,6.54
1941-09-02,6.59
1941-10-01,6.53
1941-11-01,6.18
1941-12-01,5.92
1942-01-02,5.84
1942-02-02,5.81
1942-03-02,5.57
1942-04-01,5.29
1942-05-01,5.07
1942-06-01,5.38
1942-07-01,5.41
1942-08-01,5.62
1942-09-01,5.66
1942-10-01,5.86
1942-11-02,6.22
1942-12-01,6.09
1943-01-02,6.46
1943-02-01,6.88
1943-03-01,7.12
1943-04-01,7.53
1943-05-01,7.55
1943-06-01,7.87
1943-07-01,7.95
1943-08-02,7.36
1943-09-01,7.57
1943-10-01,7.7
1943-11-01,7.57
1943-12-01,7.05
1944-01-03,7.36
1944-02-01,7.51
1944-03-01,7.58
1944-04-01,7.74
1944-05-01,7.73
1944-06-01,8.01
1944-07-01,8.5
1944-08-01,8.42
1944-09-01,8.52
1944-10-02,8.53
1944-11-01,8.6
1944-12-01,8.63
1945-01-02,9.04
1945-02-01,9.2
1945-03-01,9.79
1945-04-02,9.45
1945-05-01,10.18
1945-06-01,10.39
1945-07-02,10.43
1945-08-01,10.22
1945-09-04,10.83
1945-10-01,11.44
1945-11-01,11.87
1945-12-01,12.2
1946-01-02,12.22
1946-02-01,13.22
1946-03-01,12.21
1946-04-01,12.83
1946-05-01,13.3
1946-06-03,13.56
1946-07-01,13.21
1946-08-01,12.84
1946-09-03,11.08
1946-10-01,10.65
1946-11-01,10.77
1946-12-02,10.33
1947-01-02,10.89
1947-02-01,11.31
1947-03-01,11.13
1947-04-01,11.02
1947-05-01,10.66
1947-06-02,10.42
1947-07-01,11.29
1947-08-01,11.58
1947-09-02,11.29
1947-10-01,11.17
1947-11-01,11.45
1947-12-01,11.18
1948-01-02,11.42
1948-02-01,10.94
1948-03-01,10.45
1948-04-01,11.21
1948-05-01,11.43
1948-06-01,12.37
1948-07-01,12.32
1948-08-02,11.68
1948-09-01,11.89
1948-10-01,11.52
1948-11-01,12.26
1948-12-01,11.0
1949-01-03,10.94
1949-02-01,11.14
1949-03-01,10.62
1949-04-01,10.7
1949-05-02,10.51
1949-06-01,9.99
1949-07-01,10.01
1949-08-01,10.55
1949-09-01,10.62
1949-10-01,10.7
1949-11-01,11.09
1949-12-01,10.99
1950-01-03,11.27
1950-02-01,11.53
1950-03-01,11.65
1950-04-01,11.72
1950-05-01,12.31
1950-06-01,12.68
1950-07-03,11.91
1950-08-01,12.17
1950-09-01,12.52
1950-10-02,13.29
1950-11-01,13.2
1950-12-01,13.27
1951-01-02,14.01
1951-02-01,14.67
1951-03-01,14.71
1951-04-02,14.34
1951-05-01,15.14
1951-06-01,14.43
1951-07-02,14.16
1951-08-01,15.09
1951-09-04,15.6
1951-10-01,15.71
1951-11-01,15.45
1951-12-01,15.33
1952-01-02,15.89
1952-02-01,16.09
1952-03-01,15.3
