Date,Close
1900-01-02,6.69
1900-02-01,6.63
1900-03-01,6.52
1900-04-02,6.79
1900-05-01,6.51
1900-06-01,6.46
1900-07-02,6.07
1900-08-01,6.18
1900-09-04,6.27
1900-10-01,6.09
1900-11-01,6.44
1900-12-01,7.18
1901-01-02,7.66
1901-02-01,7.73
1901-03-01,7.74
1901-04-01,8.27
1901-05-01,9.13
1901-06-01,8.97
1901-07-01,9.03
1901-08-01,8.43
1901-09-03,8.59
1901-10-01,8.26
1901-11-01,8.41
1901-12-02,8.47
1902-01-02,8.63
1902-02-01,8.56
1902-03-01,8.54
1902-04-01,8.72
1902-05-01,9.06
1902-06-02,8.88
1902-07-01,8.9
1902-08-01,9.24
1902-09-02,9.38
1902-10-01,9.19
1902-11-01,8.98
1902-12-01,8.72
1903-01-02,8.83
1903-02-02,8.87
1903-03-02,8.62
1903-04-01,8.28
1903-05-01,8.26
1903-06-01,7.77
1903-07-01,7.79
1903-08-01,7.09
1903-09-01,7.21
1903-10-01,6.69
1903-11-02,6.74
1903-12-01,6.76
1904-01-02,6.97
1904-02-01,7.11
1904-03-01,6.78
1904-04-02,7.01
1904-05-02,6.95
1904-06-01,6.89
1904-07-01,7.11
1904-08-01,7.42
1904-09-01,7.73
1904-10-01,8.04
1904-11-01,8.47
1904-12-01,9.05
1905-01-03,8.98
1905-02-01,9.12
1905-03-01,9.53
1905-04-01,9.69
1905-05-01,9.28
1905-06-01,8.99
1905-07-01,9.49
1905-08-01,9.75
1905-09-01,9.82
1905-10-02,10.13
1905-11-01,10.22
1905-12-01,10.27
1906-01-02,10.63
1906-02-01,11.0
1906-03-01,10.41
1906-04-02,10.72
1906-05-01,9.7
1906-06-01,10.35
1906-07-02,9.69
1906-08-01,10.43
1906-09-01,10.77
1906-10-01,10.86
1906-11-01,10.57
1906-12-01,10.81
1907-01-02,10.42
1907-02-01,9.76
1907-03-01,9.62
1907-04-01,8.78
1907-05-01,8.92
1907-06-01,8.23
1907-07-01,8.63
1907-08-01,8.49
1907-09-03,8.02
1907-10-01,7.8
1907-11-01,6.64
1907-12-02,6.95
1908-01-02,7.02
1908-02-01,7.17
1908-03-02,6.9
1908-04-01,7.44
1908-05-01,7.84
1908-06-01,8.2
1908-07-01,8.03
1908-08-01,8.68
1908-09-01,8.94
1908-10-01,8.59
1908-11-02,8.95
1908-12-01,9.48
1909-01-02,9.65
1909-02-01,9.37
1909-03-01,9.31
1909-04-01,9.69
1909-05-01,9.87
1909-06-01,10.15
1909-07-01,10.25
1909-08-02,10.62
1909-09-01,10.54
1909-10-01,10.77
1909-11-01,10.6
1909-12-01,10.32
1910-01-03,10.53
1910-02-01,9.89
1910-03-01,9.99
1910-04-01,9.81
1910-05-02,9.43
1910-06-01,9.49
1910-07-01,9.0
1910-08-01,8.61
1910-09-01,8.84
1910-10-01,9.09
1910-11-01,9.4
1910-12-01,9.02
1911-01-03,9.19
1911-02-01,9.54
1911-03-01,9.38
1911-04-01,9.38
1911-05-01,9.48
1911-06-01,9.68
1911-07-01,9.74
1911-08-01,9.68
1911-09-01,8.98
1911-10-02,8.79
1911-11-01,9.08
1911-12-01,9.21
1912-01-02,9.3
1912-02-01,9.13
1912-03-01,9.23
1912-04-01,9.66
1912-05-01,9.81
1912-06-01,9.6
1912-07-01,9.77
1912-08-01,9.84
1912-09-03,9.8
1912-10-01,10.08
1912-11-01,9.77
1912-12-02,9.76
1913-01-02,9.54
1913-02-01,9.25
1913-03-01,8.9
1913-04-01,9.05
1913-05-01,8.75
1913-06-02,8.49
1913-07-01,8.36
1913-08-01,8.51
1913-09-02,8.66
1913-10-01,8.71
1913-11-01,8.45
1913-12-01,8.29
1914-01-02,8.43
1914-02-02,8.84
1914-03-02,8.59
1914-04-01,8.63
1914-05-01,8.41
1914-06-01,8.45
1914-07-01,8.4
1914-12-12,7.55
1915-01-02,7.46
1915-02-01,7.7
1915-03-01,7.47
1915-04-01,8.03
1915-05-01,8.79
1915-06-01,8.17
1915-07-01,8.47
1915-08-02,8.82
1915-09-01,9.17
1915-10-01,9.84
1915-11-01,10.59
1915-12-01,10.53
1916-01-03,10.67
1916-02-01,10.02
1916-03-01,9.88
1916-04-01,10.08
1916-05-01,9.95
1916-06-01,10.27
1916-07-01,10.05
1916-08-01,9.96
1916-09-01,10.08
1916-10-02,11.0
1916-11-01,11.15
1916-12-01,11.09
1917-01-02,10.41
1917-02-01,9.7
1917-03-01,9.69
1917-04-02,10.21
1917-05-01,9.79
1917-06-01,9.95
1917-07-02,9.69
1917-08-01,9.6
1917-09-04,8.69
1917-10-01,8.74
1917-11-01,7.67
1917-12-01,7.7
1918-01-02,8.06
1918-02-01,8.27
1918-03-01,8.31
1918-04-01,8.12
1918-05-01,8.13
1918-06-01,8.29
1918-07-01,8.49
1918-08-01,8.43
1918-09-03,8.82
1918-10-01,8.73
1918-11-01,8.99
1918-12-02,8.72
1919-01-02,8.62
1919-02-01,8.38
1919-03-01,8.71
1919-04-01,8.91
1919-05-01,9.24
1919-06-02,10.21
1919-07-01,10.04
1919-08-01,10.05
1919-09-02,9.68
1919-10-01,9.97
1919-11-01,10.26
1919-12-01,9.24
1920-01-02,9.52
1920-02-02,9.18
1920-03-01,8.65
1920-04-01,9.22
1920-05-03,8.56
1920-06-01,8.39
1920-07-01,8.38
1920-08-02,8.16
1920-09-01,8.5
1920-10-01,8.61
1920-11-01,8.71
1920-12-01,7.95
1921-01-03,7.67
1921-02-01,7.79
1921-03-01,7.6
1921-04-01,7.54
1921-05-02,7.81
1921-06-01,7.51
1921-07-01,7.17
1921-08-01,7.42
1921-09-01,7.13
1921-10-01,7.55
1921-11-01,7.54
1921-12-01,7.97
1922-01-03,7.87
1922-02-01,8.07
1922-03-01,8.43
1922-04-01,8.77
1922-05-01,9.18
1922-06-01,9.36
1922-07-01,9.16
1922-08-01,9.53
1922-09-01,10.0
1922-10-02,9.73
1922-11-01,9.58
1922-12-01,9.36
1923-01-02,9.55
1923-02-01,9.49
1923-03-01,10.0
1923-04-02,9.67
1923-05-01,9.41
1923-06-01,9.13
1923-07-02,8.64
1923-08-01,8.56
1923-09-01,8.94
1923-10-01,8.62
1923-11-01,8.7
1923-12-01,9.0
1924-01-02,9.11
1924-02-01,9.44
1924-03-01,9.23
1924-04-01,9.04
1924-05-01,8.97
1924-06-02,8.9
1924-07-01,9.41
1924-08-01,9.91
1924-09-02,10.1
1924-10-01,10.04
1924-11-01,9.99
1924-12-01,10.67
1925-01-02,11.38
1925-02-02,11.36
